no,Tweet
1030,Pls stop that background tu tu sound   Except this everything is excellent
1031,It means more data scientists are required. Hip hip hurray for data scientists.
1032,Crypto jaisa use nahi ho sakega  Crypto use karte hain log tax se bachne ke liye anonymous transaction ke liye toh ye problem CBDC kaise solve karegi
1033,This screw the Finland and Europe very soon.... you can already see the feet of the devil in those countrys
1034,Thala.
1035,Nope
1036,"Lets all Indians make this happen, reliance on swift is going to continue to crush our  economy."
1037,What is GDP . please make video on GDP
1038,"Love you my son, as a commerce professional your videos are more helpful now a days, I recommend your channel to all my students"
1039,CBDC will put revdi by central government on steroids
1040,"Are you people THAT IGNORANT DC will not change any trade, for 95% of all transaction are already in DC. But it will become accessible to all mankind in more than 600 forms control by ONE BOSS."
1041,"Nice, terrorists can be tracked. No hidden money   black money"
1042,What happens to the banking system. Btw mobile money is already successfully working in many countries.   Looks like the central bank wants to drive out the banking system.
1043,"India, usa  china are top competitors in technology"
1045,"But  centralisation of transaction within RBI  government also keep on eye on public s monkey behaviour,,,,,, like china‘s government"
1046,This is why Modi ji needs to be there for next 30 years to transform India ahead of the other countries. Jai Ho Modi ji...
1047,Let’s take a moment to thank Sathoshi Nakamoto and Vitalik Buterin for this revolution.
1048,I think this will collapsed the original rupees
1049,"This is going towards demonetization, and government will control that how well spend money and thats really scary. Free speech could be banned just by blocking the account.    Just for an example- Just like covid if govt wants you to stay in your house theyll block the payment beyond 2km from your houses radius.    This kind of control and our freedom should not be handed over to anyone."
1050,If theres no gold backing is value is worth nothing... I promise were walking into economic collapse
1051,"Newbie, stop making videos that create threat perception"
1052,I would be very happy if the digital rupee works without internet.
1053,"Hey man Youve such deep, genuine knowledge of every topic that you make video on. It reflects in the quality of your content.   And the study material part is highly commendable."
1054,i dont see any benefits of CBDC. it is just like UPI and even in UPI you can make offline payments. also he gave an example of some remote island who is using CBDC which is not relatable to our indian context. in my opinion CBDC is a new fancy and expensive project which govt  doesnt understand and is going to cost our economy more than demonetization
1055,"given the greed of Indian IT firms, this is far from happening "
1056,timestamp  00.00  Digital currency  12.50  Can RBIs digital rupee currency help India.....
1057,I agree with u but does our government integrate blockchain and make it transperant
1058,"The Chinese CCP loves this fully control of every move of every citizen. India should not want to copy such an emporer system, not in its Dharma.  Swift can be beaten differently."
1059,All this will be applicable to the commoners.. but the politicians and their crony capitalist will enjoy their anonymous black money..what ever may be the modes of transaction..
1060,There are gross inaccuracies on the remittance... These days the remittances are already instant..  Also u need to convert money from the host country currency to the indian rupee which involves the max I'mum commission..which cbcd is not going to change.. dont pull big wools .
1061,WEF bringing it all closer..next social credit. Yay
1062,I have question Why are there so banks not just RBI
1063,These people copy everything about the blockchain but tax 30% for the real thing.
1064,Very very informative
1065,India is a super power and rightly should lead and compete. I am confident Indias eRupee will be welcomed and thrive.
1066,Digital currency is best in Digital world ..and international currency balance  sheet shall be satteled in Gold coin currency in place of Dollar .
1067,Whats the difference between payment using digital currency and using the money in bank account using UPI..    I dont find any difference between the two..
1068,"Hi,   It gives me an  I'mmense pleasure that till the date whatever I watched I have tried to apply in my work, studies .     I have received lot of benefits      Thank you       Lots of love"
1069,"They are stealing our future by making a digital currency using blockchain tech . Centralizing the decentralized, they are bringing the use of banks again when there is no need for it and with it taking away our right to handle our own money without a third party like government or banks  . 20 years down the line things will change when btc or eth becomes a world currency and no one will be able to control our funds Wake up people. Its not about Modi or any political party . Its us against the government of the worlds. Borders  religions, racism were all built to divide us and rule us on such basis . time to wake tf up and grow to our original potential that the governments never allow us to do"
1070,Another CONVINIENT way to PAY but its NOT on the Blockchain  SO... what is the big deal
1071,CBDC’s are a threat to Banks and people  use to blame cryptos
1072,Sandeep sir ke show pe kb ja rhe
1073,Loved your content... You had a great knowledge and put every effort of you into geopolitical knowledge and did a great work to explain everyone..... One major video on S JAI SHANKAR and  I'mpact of INDIA across India
1074,"I think banks can save a lot of costs by getting rid of ATM machines,  circulation and printing of money.  Also we can tackle fake currency issue can be tackled by this block chain technology.  I am not sure whether it can replace SWIFT or UKFPS."
1075,Just Amazing Analysis
1076,"When CBDC announced, I was waiting for Think Schools video. Great effort guys. No one is matching your content"
1077,Just brilliant explanation as always...Think school never disappoints subscribers..amazing)
1078,Ha..ha  no more cash guys..everyone will pay tax . If you default or do not have a good score your account will be restricted including spending habits. More centralised control
1079,One of the worst described video ever on this channel didnt expected this from you Ganesh
1080,Describe each model of CBDC separately
1081,Basically nations will centralize more   amp more power while masses will loose every ounce of influence.
1082,Interest calculation done is not an Apple to Apple comparison  You did monthly compounding for IDFC   And in another case calculated s I'mple interest
1083,"Digitalisation is good, But we must also ensure robust cybersecurity and 0 electricity outage"
1084,cbdc
1085,Privacy will be a word in the history books
1086,IDFC is a worst bank.  Dont promote
1087,PLS MAKE VIDEO ON POLLUTION AND ITS  I'mPACT ON SHINING INDIA
1088,I think cbdc dark side is that it gives too much control to the government. They can track each and every transaction and penalize or reward us based   quot good behavior  quot according to them.    I think upi system is good.    Cbdc will be good initially- maybe first few years but later this will become a tool to control everyone.    Let us not forget that east india company came in with the supposed intention of doing trade in india. Once they gained some trust we know what happened next.     Let us not get fooled again and again.    Although it would be our own government who would be dictating us but then we wont be a free country anymore. On paper we will be but in reality we will not.    It may seem like a doomsday scenario but this will happen I can see this unfolding again in future because there are so many instances in the past of the same although happening in different ways.    Let us do a little reseach on our own about history.
1089,Idk if intentional or not but  your sound editor should remove mouth sounds  chip chip  breath  etc
1090,not bad
1091,super idea
1092,My Bank phone app always says Core Bank Server not working. So digital currency to win needs an effective communication
1093,Excellent insightful
1094,Blockchain can be a powerful    quotTRACK AND TRACE  quot mechanism. CBDC are pushed across major countries. But the question which needs to be asked is who holds the authority to change the terms and condition
1095,A corrupt country cannot and will not prosper. Period
1096,"It would be worth to see if the cbdc leads to reduction in circulation of money and thus  I'mpacting money multiplier effect, because the cbdc wont be within the lending banking system where banks use the available funds for interest generating lending activities.."
1097,Ajith Kumar
1098,"I didnt understand how we can transfer money between two parties using CBDC without internet connectivity. I thought each time a token is changing hands, the ledger in the RBI needs to be updated (otherwise how will it get credited to the other person). Without Internet access how will this work"
1099,"As central bank name at always top among  fourteen national banks but central bank always poor at service always out of server (error) at online transaction   Bro, in your one videos i see that you will get oil at low price or prices of edible oil get decrease But actually reverse has happen oil prices goes upto 140  lit."
1101,"A little more concept or info needed sir,"
1102,"Amazing presentation. However, I think I couldnt follow from step 1.   Today, the settlements between banks are delayed (say 1 day or a week). What exactly is the drawback of this delay As far as accounting  ledger is concerned its updated instantly. So, every calculation that needs to be done subsequently, would not be  I'mpacted by the delay.     Secondly, how to banks settle Do they need to Physically carry 150 Crores (from the example) from Place A to Place B Or is this a digital thing"
1103,This is the start of government controlling us completely no freedoms ever again
1104,"I think that it can help international trade too, especially when we have said that they can make payments in INR instead of USD"
1105,"JFYI ( since you have zero clue how swift works ) - FUNDS are transferred instantly within seconds to Nostro accounts of Indian banks, which do not settle  I'mmediately because of their inefficiency, corruption, and greed. Because of the time difference and the fact that the Indian rupee is not freely tradeable, it takes time for settlement in the beneficiary account. Additionally, because of stupid laws and regulations in India, banks use them as an excuse to delay further credit in beneficiary accounts.     Finally, it does not take five days."
1106,"model 2 is clearly the winner, completely decentralised..."
1107,By using this the government wants to tax everyone for every thing. Beyond its real use.
1108,Dhanyosmi. Excellent presentation
1109,CBDC will be failure owning to lack advantages of public Blockchain and Network effect.
1110,Why you are using wired mouse in video
1111,Ill informed.  forget 3 to 5 days    it doesnt even take 5 hours.  And commission is fraction of 1 percent.
1112,today no one has heard of western union.  have you not heard of pay pal
1113,Yeh Dil maange more. Keep them coming.
1114,"He forgot to mention that  1. the government will be able to tax every dollar your earn part time or otherwise because they know how much goes into your account monthly     2. The government will be able to confiscate all your money if you do anything against the government or people in power (unscrupulous politician or govt servants wont just disappear overnight)    3.track and limit what you spend. Eg. If the government thinks you are eating too much meat, they may limit the amount of meat you can eat a month.    4. Politicians in power can take down their opponent just by locking up their CDBC wallets"
1115,"I think the decentralized, smart contract approach will be the best, because you dont have to have trust in either party and the transaction will be instantaneous. But i doubt, what the US with its swift network will be trying to bring this down. It looses so much power with this, because take the recent example of russian sanctions. If the payments were done using this new method, you cant freeze the bank accounts of a country with billions of dollars u owe them in name of sanctions."
1116,All credit goes to Raghuram Rajan Man who invented UPI but very sad tody he is professor of University of Chicago Booth school of Business
1117,"Dont trust a bank, like in china you will be controlled. This site is sponsored by a bank"
1118,"I dont know whether its going to help or not, but it will surely increase at least two more lectures in Mrunal sirs class )"
1119,Great work
1120,"I have a question, does the e-rupee cause inflation  Because if suppose the e-rupee is s I'milar to cash, then if the government creates 100 crore from thin air to send as subsidy to people, will the Rbi take out 100 crore from circulation to prevent the inflation    If the above case is true then there is an   Alternative hidden Benefit  The RBI can control inflation without increasing or decreasing interest rates just by increasing or decreasing the amount of e-rupee in circulation, am i right or wrong "
1122,"Below average analysis with just benefits, you need to learn a lot on CBDC. This seems more like talking positives about it."
1123,"Hmm... not backed by gold bullion, but by the government.... the facist one....  and we have to trust these cr I'minals"
1124,End of traditional banking yes.  End of banks no.
1125,Fantastic knowledgeable video. Thank you buddy.
1126,Many a times your chanael sounds like vishwguru hoax spreader...    You should rather look at pathetic economy and related aspects of India
1127,China good
1128,Thanks. Very informative. Loved the Finland use case.
1129,All of this in short means that the problems which can be solved normally are being solved by launching some new shit. Just like other things which were launched this thing will end in playing merely any significant role.
1130,Thanks for explaining cbdc.  I have a doubt The example given on the interest earning in idfc Bank vs other banks must consider same rate of interest snd benefits based on monthly interest payments by idfc vs quarterly payments by other banks.   Comparing 4%interest vs 3% as in the example given is comparing Apples and Oranges.
1131,"This is a very good thing done by the INDIAN government because many wrong PPL are getting loans just by doing showcase, false flattery and also by giving more commissions to lower PPL(Eg Nirav Modi) but when it comes to right PPL who is really capable of doing something which can benifit to GoV and banks, those PPL are not getting loans because they will not showcase, they will just be genuine and also no false flattery or corrupting will done by them ......if this idea works well then the loan will be provided to right PPL with transperant verification."
1132,Bank Change rules so quickly
1133,What about ZERO FORGERY chance
1134,There is absolutely no match of Think School when it comes to such indepth Geopolitical analysis Always top notch
1135,Cbdc is not beneficial unless it adopts tokenaisation like crypto. Its still a centrally controlled system. Such systems can be hacked. But unfortunately no Federal bank around the world will do that. Because no one wants something thats not in their power.
1136,"CBDC might be interesting. But ult I'mately its bitcoin that will have clout. Its not centralised, public, very hard to hack, runs to a good extent on renewable energy, global."
1137,Somalia theyre using last 20 years they dont have money last time they print a Mony it was 35 years ago all you need phone number and youre good to go
1138,India baate karta raha China aage badhta raha..baat kadvi hai par sachchi hai..hume kaam pe focus karna hai
1139,What case study... really nice ...keep rocking
1140,"It seems   RBI does not use blockchain (could be traditional SQL).   RB I'may not handle retail accounts, but let the usual neighborhood banks handle retail. RBI will handle only institutions"
1141,CBDC - Central Bank  Digital currency India Digital Rupees Transaction between two countries the two types Wholesale and Retail The way of India Superpower in currency digital Transction that will useful for Refugee camp people and Foreign traders with Scrunity of the transaction one of the Best Explanation of CBDC and Digital currency  The initiative by Govt ot India  From UPI to Digital currency  using Block chain technology  Thank U Ganesh anna for s I'mple explanation of CBDC  Reasearch analysis and examples day to day life semma super Think school  learn something new in easy way
1142,"I was waiting for this video, thanks very informative "
1143,"But Bro, you missed out on very essential point - ownership of money.     Will the citizen have complete control over their funds like we have on Bitcoin  Or will those smart contract be governed by the Govt and hence they will have a chance of freezing the funds one falls out of line with their ideological opinion    Can you pls comment on that    BTW love your content - keep up the good work - Cheers"
1144,Refugees in India from Bangladesh and Myanmar r also much happier than the genuine citizens... Its not the only case with Finland
1145,The future belongs to INDIA.
1146,Sir please make a video on  one  nation one fertilizer  how this scheme  I'mpact our farmers and agricultural economics of our country because in our country many livelihood is depended in agriculture and agribusiness
1147,"Twenty Twendy Doo, Stop using the word   quotSuper Power  quot until things start to happen for real. Classic symptoms of   quotPremature celebration  quot that Indians suffer from."
1148,Great job
1149,"Sir, if the transaction settle in a day or week in upi system then how receiver get  the money instantly"
1150,. Nice
1151,"Thank you, now I have understood what is CBDC."
1152,Thank you
1153,It also gives power to the Governments to freeze your digital currency if they dont like your politics or youre using too much Co2
1154,Because governments never seize or suspend bank accounts .  If you can not hold your currency you are not in control of your currency.  Convenience is not enough to give  governments even more power over our daily lives.  Never allow them to take away physical cash. ✌
1155,CBDC is not india it can be programmed and wont allow u to buy assets and fine u if u buy things which u dont want to buy basically its a  scam of total control
1156,Thanks
1157,"Somehow its not clear ...can you not have smart contracts without cbdc  Also the reference on convertability is confusing. It will not need a bank account.  In any case Rbi will account for it . So it is like  creating more money digital or otherwise which will devalue the currency right As for replacing swift, make upi error free first."
1158,CBDC is evil trap of central bank n Rothschild again .dont fall for it .they tried to mock qfs which is from off planetory Galactic federation .wait for QFS.
1159,Please upload business strategies
1160,Without even watching the video lemme say that CBDCs are a bad idea. It gives too much power to the government. Kabhi kisi ko network se hata sakte hai. And the person  money just disappears into thin air.  Moreover CBDCs are based on blockchain technology - a technology which was developed with the main idea of Decentralisation. CBDCs defeat the whole purpose of it.
1161,"Nice video, but please rectify the HDFC bank and ICICI bank example portion there is a mistake."
1162,Please make a video on success of Singapore
1163,Our PM MODI IS GOOD AT SPEECHES  BUT NOT IN DYNAMICITY.  ONLY AFTER  HIS OUSTED FROM  POWER  INDIA WILL SHINE
1164,"The second superpower u described is so much s I'milar to money laundering. How can a centralised regulating body will watch out these transactions when there is no internet or connectivity with the regulatory system If this really becomes a reality,then RBI has and must need to tackle the Money laundering problem."
1165,Finland is the country which have breakthrough schooling system. Only in Finland we can expect   quotOut of the Box  quot thinking. We need that schooling system in each and every corner of the world. This will make the world a better place. Have a thought about it...
1166,Thanks for bringing out this much  I'mportant content.     India needs an able Govt like today for next 10-15years at least to see ourselves as a global power.
1167," I'm in 12th standard and feel wise after listening your each session, I feel that I know what is going in the world  thanku so much for this information.  Please keep it up "
1168,"Mid size and big corporate dont pay 2-3% on remittances, rather less than 0.5% and their transactions happen at a pre-agreed margin."
1169,"AS LONG AS CHEWTYAS OF COWBELT RUN INDIAN GOVERNMENT, IT CAN ONLY GO BACK TO STONE AGE."
1170," I'm done sitting tight for the award advance since i acquire$23,000 every 12 days of my investment."
1171,Definitely there will be Lot of Drastic Changes will Happen in Indian Financial Sector in near future...
1172,Jai Hind
1173,Jai sri ram
1174,"Trust Arabian ideology refugees, they will bust entire Scandinavia "
1175,Reality of India about that     a        youtu.be  9dZArTR-do      youtu.be  9dZArTR-do    a
1176,Still no government want Bitcoin..
1177,Gonna be utterly failure  both China and India.
1178,The profit lost is 25% and not 3%.
1179,Get
1180,"UPI has to the potential to and is moving in the direction of becoming interoperable payment network across the globe, with some countries accepting UPI as payment and some others  I'mplementing UPI system    CBDC will compl I'ment existing payment methods as additional payment method"
1181,Who will bear the cost of the regular transactions
1182,IDFC ka sponsorship. Kadak hai bro.
1183,Foreign Remittance Cost is not 3-4% for Retail Customers. Its is little over 1% for 2000 USD and as the remittance amount increases the percentage drops below 1%.
1184,"Your quality of content is what we want every other Indian educational, Informational and business channel to to provide us.  Keep uploading the good stuff.  Thank you ganesh   ."
1185,You refer only to the dreamy positive side of digital currency you must also face the controlling dark side.  Misuse of power will always be present.
1186,"DIGITAL Currency will give free hand to Govt to issue or print as much money as possible... If printing or issuance of money becomes uncontrollable, the result will be INFLATION... This is a Crazy Idea for a country which is struggling with KLEPTOCRACY.."
1187,"please also cover the crypto buying and sellling compared to cbdc. will buying crypto buying and selling it be better to send money in india, or vice versa.  is cbdc going to be better for normal people or cbdc will give the same  benefits and the rate as binance.  i am living in russia and buying crypto in india and selling it in russia is the best way to get money from home. wil cbdc el I'minate this sh*t, or is it better to continue to buy in crypto. please let us know your thoughts, it will be helpful"
1188,Your Thumbnail designs are so good sir.
1189,"Being a blockchain dev, I can clearly vision how CBDC will give Indians an extra edge with so many use case scenarios."
1190,You  are just amazing and it is truly informative to listen to you.. thank you so much for an another wonderful information shared.
1191,"The kind of video you produce is unmatchable in the industry. Seeing people like you, makes me feel even more proud as an Indian, your videos are the proof of the fact that how much our nation has invested on Human Resources. Seriously, very much worthy for the aspirants, you give a detailed analysis of everything. What concept clarity is, someone can learn from you.   Keep it up"
1192,What about the scope of safety in this type of digital currency anybody can kidnap somebody and have all the money transferred at knifepoint or gunpoint
1193,"FYI, your video and information require serious research before posting. Many info on Finland refugees, CBDC benefit to retailers vis a vis corporates and online remittance commission charges are WRONG Pls correct them. "
1194,"I dont know what this clown is talking about. After the ever-witnessed disastrous note demonetization, BJP government   took 150 billion dollars worth of Indian money from reserve bank of Indias reserve federal money to compensate and set off the loss happened for corporates and small-scale businesses. It was indeed disastrous, and many small-scale businesses large businesses died forever, in a way that would never come back.    A video with nice BGM and good communication skills do not mean that, this guy is talking something real. I seriously doubt, this guy is sponsored by Jumla party and his leader to propagate false information to public and mislead people to think BJP is great .. Come on guys .. Facts are not with English communication and background heroic music. It is way beyond farer than you think."
1195,Wont this remove cash from all transactions
1196,Please Make video on Euro currency..  Who print it if 19 country use it
1197,All greedy fellows who want more interest.. beware. Bank deposit insurance is only 5 lakhs and gandubhai crooks in power are trying to bring in bail-in law to grab your saving...
1198,The Rise of Bharat Global Superpower JAI HIND LETSS GOO
1199,very good and informative  Video  BUT  IDFC offers 1% more ( TODAY) over others 3% thats what gives 5k more and not monthly disbursements those will account for may be 500 Rs more at 3 % against other banks ..... Please STOP this kind of MKTG. IF IDFC is customer centric  it should not mis-lead customers....and you should neither we expect better from you
1200,As usual great information
1201,You mentioned CBDC can work offline. How can it work minus internet
1202,"Block chain technology has still not cleared the hurdle Carbon foot print   China has already supported Russia thru cbdc when swift was withdrawn by usa   Since when did india start having   quothuge number of unbanked indian customers  quot The govt already tomtommed that every last indian has been Banked with deposit of various payment schemes in the last mile  Earlier it took a few days (2-3days)for people to die standing in ATM queues when deMonetisation happened, Now it will be instant death  Block chain, crypto are all Old tech, old wine in new bottle  The meaning of Central Bank is different in democracies and that in India"
1203,"His ads are more educational, than a lot books..."
1204,Thanks for such a valuable information.
1206,Go to Sandeep maheshwari show
1207,CBDC will be a threat to XRP then
1208,RBI IS AJITH
1209,"So far I had good opinion about this channel. This one has changed everything. This is complete biased information. Probably due to some banks sponsored this video. With CBDC everyone lose their privacy. Government gets ult I'mate control over people spending behaviour. CBDC is a programmable money, the money could have expiry date, certain items could be restricted in purchasing list."
1210,Happy to see Ajith. Proud fan of Thala and you
1211,"Somebody please clear my confusion apart from remittance and Swift like payments....  I'mproving and  I'mprovising UPI can do the same.... With or without internet you can send money, the details are decentralised as in the bank statement form.. if UPI is such sucessful, why we need cbdc....."
1212,ur explanations are very good plz keep up the good work
1213,"Question,  What is the age limit for a person to be able to use CBDC, can under 18 be able to use it"
1214,Beware of shopkeeper selling you LAYs for 100 rs It costs just 10 rs
1215,"This is by far the most educational youtube channel Ive seen, thank you for such a valuable information."
1216,RBIs DIGITAL rupee is the BLOODY CENTRAL BANK DIGITAL CURRENCY of the DEEP STATE.THE WORLD ECONOMIC FORUM AGENDA OF NEW WORLD ORDER  through financial control and slavery of the masses.Its a shame that MODI who is supposed to control the CABAL  DEEP STATE is  I'mplementing its agenda.WE ARE IN DEEP TROUBLE MATE WE ARE IN DEEP TROUBLE.
1217,Its the DIGITAL FORM of the SWIFT SYSTEM.A DISGUISE...
1218,Please start about business and success of companies.
1219,How the exchange rates will decide
1220,I love the  frequency  of releasing new videos  it takes a lot to release a new video every 4-5th day n that too with maintained quality of content Nice work  not good idea
1221,Is it necessary for India to beat something always..Cant this country just do what it needs for itself. Why is it always necessary that something we think of for ourselves has to mandatorily BEAT something else.
1222,"I wish the government introduces transparency measures along with such breakthrough measures to ensure there is no misuse. Looking around at my citys infrastructure, i feel disappointed that we are so prosperous as a nation but still lack many basic infra"
1223,"I have been watching every video of Think school and these 03 characteristics will define the super power of Think School. 1) Clarity on concept backed by supporting resources link in description 2) Clearly saying   quotI dont Know  quot on some topics which are not clear 3) Being completely unbiased and neutral. Thanks, Think School, you are truly a New Age Digital School of India."
1224,Thanks for sharing
1225,"INDIA Should have Fair level playing Field of its own with other nations   amp not let anyone Blackmail INDIA.  Thats is not having Freedom. Freedom means So much for INDIA.   Like the Finland system, INDIA also should Follow that with Refugees of CAA Qualified people."
1226,Digital currency is slavery. No slavery for India
1227,"I think its  I'mportant you also touched upon the Social Credit System like Chinas which will 100% be  I'mplemented alongside a CBDC. So if you break a law, or go against norm you can get penalized and even have your bank account deactivated.  I'magine if the U.S. had this right now. In Canada banks froze accounts of thousands that participated in the Trucker Protests. Ethics must be discussed because politically our governments are far too evil to truly unleash the positive potential of such technologies."
1228,Does that mean those below 18 y  o will be also able to make transactions now
1229,Chaiwala PM bringing E-ruppee and IITan CM wants gods photo for the economy growth... Which economics do you support...
1230,a   the 100 Note has Serial 786
1231,Why only china is lead in digital currency not america or us
1232,Thanks
1233,Informative
1234,This type of financial transaction system is very useful to stop corruption and accumulation of black money.. but what about those people who are totally uneducated India is a country of villages.. even now villagers are practising illegal activities like child marriages ...how can they be expected to make transactions under CBDC..
1235,Best video on this topic on the internet
1236,"We dont need block chains, rbi ledger should be good enough."
1237,"Credit worthiness can be calculated based on salary, older transactions for example, ola app can allow me to ride for few thousands for free based on my record of always paying my bills.  This can be extended on national    international level with proper framework for banks to follow with rfc, specs etc.  Such a framework can be mandated by the rbi just like upi."
1238,"2-3 % charges and time taken in days is so outdated.  With the tech that is present today, this should be much more efficient.  Like .1 % charges and transaction in less than 5 minutes."
1239,"I saw some news on cbdc and knew about it, but your video taught me much more deeper.  Thanks"
1240,lolpopat
1241,Could  there be any business opportunity for Indians using ondc and cdbc like the time of UPI
1242,So these CBDC will have their own blockchains I guess. This seems to be a death blow to bank as these will bypass them. One fear compared to cash is that these digital rupee can be withdrawn at any time when the government seems right at the push of a button.That sort of centralized control is not good. If some misuses power UR networth can be zero overnight. Anyone who opposes the government  may be targeted like opposition  or human rights groups. The central banks will remain in cahoot with financial institutions .
1243,Thats why they are focusing on Aadhar linking porcess so that a non banker person can be traced using e-rupi and increased the scope of taxability. Is it
1244,One of the best video on CBDC ...      Just wow
1245,Even the paper money is not backed by GOLD or SILVER  - Basic Knowledge
1246,CBDC = Handing over keys to theives (Banks   ampGovt).
1247,"Say good bye to privacy, private transactions, street merchants, anything that relies on cash."
1248,"Wish you had spoken a bit about the cons of CDBC. There is a reason central banks shouldn’t be given supreme power. For ex, Twitter shuts down accounts of people who do not share their views. Central bank can do the same with CDBC.   The current UPI is working brilliantly for remote users. We already have an efficient digital platform for small users. There is no clear explanation on how CDBC will reduce cross border payment commissions.   It is very dangerous for central banks to get into credit ratings and loan disbursals. Why don’t you just sell of the country to Adani and Ambani . They are already getting unlimited loans through the current setup.   May be my understanding of CDBC is wrong  but it feels like D means dictator here"
1249,"Awesome explainer You really continue to  I'mpress me young man. Kudos to you.    I would add 2 other  I'mportant aspects that will prove to be critical to the financial health of a country - CBDC’s will enable the Indian government to aid, support and subsidize its population during extreme times of crisis (like the pandemic) but limit spending to nominated suppliers preventing unnecessary foreign exchange erosion when this aid money is abused for purchasing goods from outside the country or for unnecessary goods.     Additionally, India’s large population and its ability to deploy easily a rupee based CBDC (given its mobile phone penetration, ID card  I'mplementation, its population’s familiarity with e payments) will augur well for the Indian rupee exchange rates - as its able to maintain a large and healthy demand of CBDC across the globe (for starters the USD 81 B) remittance not even taking into account all the export trade based on CBDC"
1250,Digital Rupee
1251,Thanks
1252,"Jabb aakash me cloud ho tab planning karna,  nahi to koi signal le lega"
1253,My left ear  learnt so many things today
1254,CBDC will spy on you and control you. It can even be turned off if the government or bankers don’t like what you are saying or how you are spending your money. There is no more privacy in any part of your life if you allow CBDC to be  I'mplemented
1255,How will the cbdc affect the banking industry
1256,Ripple knows only one Ripple by the govt can change the face of the country.
1257,So basically this is like digitization of physical notes......
1258,The priority to the security in transaction of a common man may be considered as the world is becoming more and more Hi tech day by day.
1259,mind blowing project but the question is when will it be initiated
1260,Even though CBDC has lot of advantage  it gives govt lot of control over citizens which is currently not possible by govt. it will bring pain to middle class big time.
1261," I'm done sitting tight for the award advance since i acquire $23,000 every 12 days of my investment.."
1262,India now should openly step up against west hegemony its the right time
1263,what will happen to people below poverty line that cannot afford a digital device And prefer hard cash.
1264,"1  I am not still clear what are the advantages of CBDC over what we have now. For example, there is no CBDC at present in Canada, however, I can send money to anyone in Canada going to the website of my bank and initiating a transfer by using the Canada wide system called InterAc. All one needs is the receivers email. Nothing else.The transfer is made without banks human intervention the sender gets an email that the money is sent aa well as when it is accepted by the other party likewise, the receiver gets an email advising the transfer. Where is the advantage of CBDC  2  Excuse me but When you compare IDFC and others, isnt the illustration of the benefits of monthly interest credits v. quarterly rather misleading since you aggregate that with the higher IDFCs rate of 4% v 3% Perhaps you could have said that benefits of monthly v. quarterly credits on Rs 5 lakh deposited is Rs371  per year, the rest being due to higher rates offered by IDFC. Just to be fair to your listeners.   Thank You."
1265,India is not a leader I diagnose wants to be in someones shadow all the time   Its been seen in the Ukrainian war
1266,India is good on progress. I see digital demonetization coming soon.
1267,Total BS with no justification rather gives more control to elite   amp enslave people as consumer hold no tangible asset.    Pathetic examples used.
1268,a   suspicious and intrusive.
1269,"Digital currency in one way can control the citizens by freezing there accounts politically which party runs they will take advantages,  free speeches will be rare thing in near future  govts will suppress the dissent, and the freedom which you have on fiat paper currency will be lost in phase by phase manner we call it evolution and next level of technology but public eventually will loose the liberty...."
1270,Au bank is also giving interest monthly and at a higher rate of interest ( 5% )
1271,The problem with digitizing anything is that we are giving govt extra power to block any and all forms of payment at their wh I'm
1272,I see the 500 and 2000 notes being phased in another 5 years and finally traceability comes into effect. No one can anymore hide the notes under the mattresses
1273,Doesnt matter how much Indian government try to hide his failure  But world  is watching us
1274,Digital currencies were present across the world in over 10 countries and few have already reaped benefits but our pets media are projecting as if this is master stroke from viswa guru...and with Jan dhan it was boasted as if we have covered whole population
1275,"can u also throw some light on how do they handle the authenticity of the transactions in a remote village, where there is no bank account, app, mobile, internet Scams  This also looks like another push to the banking system to me,, just like home loan,, home loan is created for banks to survive.  Never saw a bank reducing their charges, they feed on only charges, let alone the remittance charges.   So now, we can get salaries also through digital currency"
1276,Over 20 crore Indians go to sleep empty-stomach every day
1277,Actually  in any payment transaction by Payment app money in paying bank customer account is transferred to a  settlement account of NPCI  of the bank. Net settlement takes place at EOD of NPCI system.
1278,Sure we can do best for INDIA.
1279,"A central bank digital currency is a double edged sword. You can talk all day long about benefits but at the end of the day the Government in the country that issues digital currency has a complete view of every single transaction done by the individual .. even more so it can control how much you spend on your purchases because the Government can label it as environment unfriendly or whatever reason if it wants to or is forced to by bigger more powerful Governments    I am not  I'mpressed with the story of Finnish refugees... This is just a smoke screen to enact digital currency ult I'mately for not just refugees but all the citizens of Finland... The refugees program is a Beta test more likely    Ult I'mately the problem of fiat currency doesnt go away just because you went digital... The fundamental problem remains... you are printing money out of thin air with nothing to actually back it up...the digital currency will put an end to the pretense that we are actually using money.. we are s I'mply making changes to ledger entries.. instead of physically printing cash from nowhere, the Government will print it electronically.."
1280," No physical damage. As opposed to the currency notes, there is no risk of damaging a digital rupee by way of wear and tear or losing it during movement."
1281,Thank you sir for this  vital information which may cause disruption in future financial transaction.
1282,Wont digital rupee cause loss of freedom of people... Govt will have extreme power and thus loss of democracy
1283,Infinite Government Surveillance incoming
1284,"If you are not in the financial market space  right now, you are making a huge mistake. I understand that it could be due to ignorance, but if you want to make your money work for you…prevent inflation...."
1285,In other words. Say goodbye to hiding cash. Say hi to more taxes
1286,Good research easy way to understand the smart contract and digital currency.
1287,Hs a
1288,This video has the answer for all the future of money
1289,Government should use cbdc in all government schemes and contracts to track money they use
